lead_id,first_name,last_name,email,phone,county,current_vehicle_type,vehicle_year,income_band,distance_km,last_touch_date,engagements_90d
L0001,Taylor,Walsh,user1@example.com,+353810614290,Longford,ICE,2012,€40–60k,42.4,2025-08-21,1
L0002,Jordan,Walsh,user2@example.com,+353869503875,Dublin,ICE,2020,€40–60k,40.2,2025-08-21,1
L0003,Alex,Murphy,user3@example.com,+353821662928,Cork,ICE,2013,€40–60k,41.1,2025-08-21,2
L0004,Chris,Kelly,user4@example.com,+353839082351,Cork,ICE,2013,>€80k,35.9,2025-08-21,0
L0005,Chris,Ryan,user5@example.com,+353883223465,Wicklow,ICE,2016,€40–60k,53.4,2025-08-21,2
L0006,Morgan,O'Brien,user6@example.com,+353822147676,Dublin,EV,2022,€40–60k,27.4,2025-08-21,1
L0007,Taylor,Kelly,user7@example.com,+353863430617,Cork,ICE,2018,€60–80k,35.2,2025-08-21,1
L0008,Sam,O'Brien,user8@example.com,+353812611432,Kildare,ICE,2007,€60–80k,1.7,2025-08-21,4
L0009,Chris,Byrne,user9@example.com,+353813791701,Longford,ICE,2019,€60–80k,15.2,2025-08-21,4
L0010,Chris,Murphy,user10@example.com,+353898307206,Limerick,ICE,2013,>€80k,22.4,2025-08-21,1
L0011,Morgan,O'Brien,user11@example.com,+353848692285,Limerick,HEV,2006,<€40k,22.2,2025-08-21,1
L0012,Alex,Kelly,user12@example.com,+353859126355,Cork,ICE,2019,<€40k,31.3,2025-08-21,1
L0013,Alex,Byrne,user13@example.com,+353881059641,Galway,HEV,2007,€60–80k,11.8,2025-08-21,1
L0014,Jordan,Byrne,user14@example.com,+353822195328,Dublin,ICE,2018,€60–80k,26.8,2025-08-21,3
L0015,Chris,O'Brien,user15@example.com,+353810178148,Cork,EV,2007,>€80k,29.5,2025-08-21,2
L0016,Morgan,Kelly,user16@example.com,+353889013969,Roscommon,HEV,2022,€40–60k,14.5,2025-08-21,3
L0017,Alex,O'Brien,user17@example.com,+353869781971,Cork,PHEV,2015,€60–80k,23.9,2025-08-21,1
L0018,Morgan,Kelly,user18@example.com,+353815462918,Cork,EV,2018,€40–60k,1.8,2025-08-21,4
L0019,Taylor,Byrne,user19@example.com,+353833099377,Cavan,ICE,2022,<€40k,20.6,2025-08-21,5
L0020,Sam,Murphy,user20@example.com,+353863675144,Longford,EV,2009,€60–80k,59.2,2025-08-21,1
L0021,Alex,O'Brien,user21@example.com,+353892922177,Limerick,ICE,2018,€40–60k,31.0,2025-08-21,0
L0022,Alex,Murphy,user22@example.com,+353827600715,Limerick,ICE,2013,>€80k,23.1,2025-08-21,3
L0023,Sam,Byrne,user23@example.com,+353886308115,Wexford,PHEV,2020,€60–80k,16.9,2025-08-21,3
L0024,Morgan,Ryan,user24@example.com,+353845527255,Dublin,HEV,2021,<€40k,33.0,2025-08-21,3
L0025,Morgan,Ryan,user25@example.com,+353838416099,Roscommon,ICE,2013,>€80k,17.2,2025-08-21,4
L0026,Alex,Walsh,user26@example.com,+353804698575,Monaghan,ICE,2013,€40–60k,44.5,2025-08-21,4
L0027,Alex,Kelly,user27@example.com,+353849409978,Dublin,HEV,2007,€40–60k,22.9,2025-08-21,0
L0028,Morgan,Kelly,user28@example.com,+353829545283,Dublin,ICE,2019,>€80k,16.8,2025-08-21,0
L0029,Chris,Ryan,user29@example.com,+353842660398,Monaghan,ICE,2006,<€40k,32.8,2025-08-21,1
L0030,Alex,Kelly,user30@example.com,+353897743024,Longford,ICE,2011,€40–60k,13.7,2025-08-21,3
L0031,Morgan,Walsh,user31@example.com,+353827349166,Cavan,ICE,2013,>€80k,44.8,2025-08-21,4
L0032,Chris,Byrne,user32@example.com,+353876739896,Leitrim,ICE,2014,<€40k,19.0,2025-08-21,4
L0033,Sam,Walsh,user33@example.com,+353863725950,Kildare,ICE,2022,€40–60k,24.4,2025-08-21,0
L0034,Chris,O'Brien,user34@example.com,+353828304841,Limerick,EV,2017,>€80k,33.0,2025-08-21,2
L0035,Morgan,Kelly,user35@example.com,+353860476585,Monaghan,PHEV,2014,<€40k,36.0,2025-08-21,0
L0036,Jordan,Murphy,user36@example.com,+353850120888,Longford,ICE,2016,€40–60k,2.0,2025-08-21,1
L0037,Alex,Murphy,user37@example.com,+353888357973,Galway,PHEV,2020,€40–60k,65.3,2025-08-21,0
L0038,Alex,O'Brien,user38@example.com,+353806639675,Dublin,ICE,2018,€60–80k,45.0,2025-08-21,1
L0039,Morgan,O'Brien,user39@example.com,+353882404326,Monaghan,ICE,2007,€60–80k,3.3,2025-08-21,1
L0040,Taylor,Kelly,user40@example.com,+353845847818,Kildare,ICE,2010,€40–60k,4.0,2025-08-21,3
L0041,Chris,Murphy,user41@example.com,+353834416111,Leitrim,EV,2010,<€40k,33.3,2025-08-21,1
